Chg,VIXPrice,VIXOpen,VIXHigh,VIXLow,VIXChg,GSECPrice,GSECOpen,GSECHigh,GSECLow,GSECChg,FXPrice,FXOpen,FXHigh,FXLow,FXChg,OilPrice,OilOpen,OilHigh,OilLow,OilChg,FII_BUY,FII_SELL,DII_BUY,DII_SELL,Nifty_PE
0.0073,21.105,21.8,22.495,19.8525,-0.0319,5.92,5.957,5.957,5.918,-0.0039,73.268,73.143,73.32,72.893,0.0036,41.51,43.02,43.21,41.23,-0.0292,6640.39,5649.82,3157.15,3814.63,32.71
-0.0223,21.8,22.835,23.2425,21.11,-0.0453,5.943,5.949,5.961,5.934,-0.0222,73.002,73.215,73.225,72.753,-0.0034,42.76,42.83,43.43,42.72,0.0035,7444.55,6958.46,3436.41,4211.64,32.53
0.0076,22.835,18.3475,23.8725,16.4,0.2446,6.078,6.117,6.117,6.071,-0.0031,73.254,73.115,73.702,73.05,0.0019,42.61,42.91,43.57,42.56,-0.0084,16290.34,19685.83,5760.96,5080.08,32.29
8.00E-04,18.3475,18.895,18.895,16.655,-0.029,6.097,6.187,6.192,6.096,-0.0081,73.114,73.827,73.878,73.116,-0.0106,42.97,42.98,43.42,42.69,-0.0016,6618.88,5614.77,5341.4,5884.96,32.92
0.0067,18.895,19.3025,19.47,17.4525,-0.0211,6.147,6.201,6.201,6.143,-0.009,73.894,74.29,74.37,73.782,-0.0044,43.04,43.45,43.5,42.36,-0.0081,6625.39,5461.07,3339.96,4149.23,32.67
5.00E-04,19.3025,19.315,19.5925,17.2225,-6.00E-04,6.203,6.184,6.209,6.136,0.0075,74.217,74.225,74.459,74.193,2.00E-04,43.39,43.39,43.78,43,9.00E-04,6857.48,5276.17,3785.61,4980.23,32.64
0.0083,19.315,19.23,19.805,15.4225,0.0044,6.157,6.14,6.172,6.124,-0.0103,74.202,74.1,74.517,74.07,5.00E-04,43.35,42.36,43.57,42.31,0.0171,5640.95,4159.75,3913.03,4086,32.43
0.0053,19.23,19.9375,20.0675,17.8875,-0.0355,6.221,6.182,6.231,6.152,0.0132,74.168,74.922,74.922,73.962,-0.01,42.62,42.48,42.89,42.23,0.0066,4444.08,4225.01,3344.75,3680.39,32.41
-0.0084,19.9375,20.6175,20.6175,14.885,-0.033,6.14,6.047,6.144,6.034,0.0233,74.92,74.98,75.005,74.82,-0.0012,42.34,42.75,42.96,41.46,-0.0056,3975.11,3564.95,4277.43,4528.08,32.08
0.002,20.6175,19.9575,21.08,17.6625,0.0331,6,6.013,6.013,5.994,-0.0013,75.012,74.973,75.132,74.935,0.0022,42.58,42.74,42.79,41.5,-0.0082,4680.39,4948.85,3438.24,4110.47,31.91
0.0123,19.9575,20.43,20.43,17.835,-0.0231,6.008,5.993,6.01,5.993,0.0037,74.846,74.655,74.935,74.628,0.0037,42.93,42.6,43.03,42.36,9.00E-04,4934.93,4475.92,3595.59,3692.72,32.09
